"Date","Price","Open","High","Low","Vol.","Change %"
"02/27/2025","2.3056","2.2958","2.3068","2.2874","3.04K","0.59%"
"02/26/2025","2.2920","2.3342","2.3396","2.2641","94.55K","-1.81%"
"02/25/2025","2.3342","2.3942","2.4069","2.3233","63.81K","-1.83%"
"02/24/2025","2.3777","2.3671","2.3958","2.3605","56.95K","-0.02%"
"02/21/2025","2.3781","2.4455","2.4515","2.3761","70.37K","-2.80%"
"02/20/2025","2.4466","2.4141","2.4592","2.4038","74.08K","1.65%"
"02/19/2025","2.4070","2.3870","2.4218","2.3804","73.13K","0.82%"
"02/18/2025","2.3874","2.3898","2.4171","2.3680","72.07K","-3.02%"
"02/14/2025","2.4618","2.4544","2.4828","2.4417","48.86K","0.53%"
"02/13/2025","2.4487","2.4465","2.4562","2.4005","60.37K","-0.13%"
"02/12/2025","2.4520","2.5144","2.5179","2.4437","71.57K","-2.49%"
"02/11/2025","2.5146","2.4546","2.5213","2.4479","72.69K","2.60%"
"02/10/2025","2.4509","2.4367","2.4714","2.4327","66.37K","0.83%"
"02/07/2025","2.4308","2.4051","2.4377","2.3987","63.67K","1.37%"
"02/06/2025","2.3980","2.3822","2.4086","2.3669","59.82K","0.58%"
"02/05/2025","2.3842","2.4369","2.4441","2.3809","63.34K","-1.88%"
"02/04/2025","2.4298","2.4250","2.4524","2.3792","74.64K","-1.35%"
"02/03/2025","2.4631","2.4665","2.5048","2.4038","116.36K","-0.86%"
"01/31/2025","2.4845","2.4991","2.5047","2.4370","5.99K","0.37%"
"01/30/2025","2.4754","2.4591","2.4999","2.4306","22.50K","0.87%"
"01/29/2025","2.4540","2.4491","2.4705","2.4260","18.30K","0.16%"
"01/28/2025","2.4501","2.4618","2.4913","2.4295","25.73K","-0.40%"
"01/27/2025","2.4600","2.5065","2.5075","2.4188","27.13K","0.49%"
"01/24/2025","2.4480","2.4202","2.4594","2.4134","83.30K","1.02%"
"01/23/2025","2.4234","2.4214","2.4499","2.3995","89.24K","-0.16%"
"01/22/2025","2.4272","2.4875","2.5067","2.4167","105.93K","-2.26%"
"01/21/2025","2.4832","2.5692","2.5896","2.4658","151.66K","-5.26%"
"01/17/2025","2.6210","2.6175","2.6430","2.5795","62.94K","0.15%"
"01/16/2025","2.6172","2.6305","2.6451","2.5850","65.16K","1.84%"
"01/15/2025","2.5699","2.5219","2.5886","2.5011","77.40K","2.85%"
"01/14/2025","2.4987","2.5101","2.5186","2.4767","71.46K","-0.37%"
"01/13/2025","2.5081","2.4775","2.5539","2.4775","83.72K","1.30%"
"01/10/2025","2.4759","2.3722","2.4897","2.3626","93.20K","5.00%"
"01/09/2025","2.3580","2.3345","2.3769","2.3226","70.78K","1.10%"
"01/08/2025","2.3323","2.3526","2.3647","2.3143","53.24K","-0.70%"
"01/07/2025","2.3487","2.3356","2.3565","2.3237","46.55K","0.57%"
"01/06/2025","2.3353","2.3365","2.3737","2.3215","51.43K","0.21%"
"01/03/2025","2.3303","2.3350","2.3475","2.3159","47.46K","-0.12%"
"01/02/2025","2.3331","2.2988","2.3502","2.2881","45.62K","0.72%"
